titulo,Autor,,,categoria,Disponibilidad
El viejo y el mar,Ernest Hemingway,$15.000,img/el_viejo_y_el_mar.png,Literatura Clásica,Disponible
Por quién doblan las campanas,Ernest Hemingway,$13.500,img/por_quién_doblan_las_campanas.png,Literatura Clásica,Disponible
Adiós a las armas,Ernest Hemingway,$13.000,img/adiós_a_las_armas.png,Literatura Clásica,Disponible
Fiesta (The Sun Also Rises),Ernest Hemingway,$14.000,img/fiesta_(the_sun_also_rises).png,Literatura Clásica,Disponible
París era una fiesta,Ernest Hemingway,$12.000,img/parís_era_una_fiesta.png,Literatura Clásica,Disponible
Las nieves del Kilimanjaro,Ernest Hemingway,$13.000,img/las_nieves_del_kilimanjaro.png,Literatura Clásica,Disponible
Tener y no tener,Ernest Hemingway,$15.500,img/tener_y_no_tener.png,Literatura Clásica,Disponible
Al otro lado del río y entre los árboles,Ernest Hemingway,$15.500,img/al_otro_lado_del_río_y_entre_los_árboles.png,Literatura Clásica,Disponible
Islas en el golfo,Ernest Hemingway,$15.500,img/islas_en_el_golfo.png,Literatura Clásica,Disponible
El jardín del Edén,Ernest Hemingway,$11.000,img/el_jardín_del_edén.png,Literatura Clásica,Disponible
En nuestro tiempo,Ernest Hemingway,$15.000,img/en_nuestro_tiempo.png,Literatura Clásica,Disponible
Hombres sin mujeres,Ernest Hemingway,$12.000,img/hombres_sin_mujeres.png,Literatura Clásica,Disponible
La quinta columna,Ernest Hemingway,$13.000,img/la_quinta_columna.png,Literatura Clásica,Disponible
Muerte en la tarde,Ernest Hemingway,$11.500,img/muerte_en_la_tarde.png,Literatura Clásica,Disponible
Verdes colinas de África,Ernest Hemingway,$16.500,img/verdes_colinas_de_áfrica.png,Literatura Clásica,Disponible
Harry Potter y la piedra filosofal,J.K. Rowling,$15.000,img/harry_potter_y_la_piedra_filosofal.png,Fantasía,Disponible
Harry Potter y la cámara secreta,J.K. Rowling,$14.000,img/harry_potter_y_la_cámara_secreta.png,Fantasía,Disponible
Harry Potter y el prisionero de Azkaban,J.K. Rowling,$14.000,img/harry_potter_y_el_prisionero_de_azkaban.png,Fantasía,Disponible
Harry Potter y el cáliz de fuego,J.K. Rowling,$16.000,img/harry_potter_y_el_cáliz_de_fuego.png,Fantasía,Disponible
Harry Potter y la Orden del Fénix,J.K. Rowling,$17.500,img/harry_potter_y_la_orden_del_fénix.png,Fantasía,Disponible
Harry Potter y el misterio del príncipe,J.K. Rowling,$14.500,img/harry_potter_y_el_misterio_del_príncipe.png,Fantasía,Disponible
Harry Potter y las reliquias de la Muerte,J.K. Rowling,$11.000,img/harry_potter_y_las_reliquias_de_la_muerte.png,Fantasía,Disponible
Los cuentos de Beedle el Bardo,J.K. Rowling,$13.000,img/los_cuentos_de_beedle_el_bardo.png,Fantasía,Disponible
Quidditch a través de los tiempos,J.K. Rowling,$15.500,img/quidditch_a_través_de_los_tiempos.png,Fantasía,Disponible
Animales fantásticos y dónde encontrarlos,J.K. Rowling,$11.500,img/animales_fantásticos_y_dónde_encontrarlos.png,Fantasía,Disponible
Harry Potter y el legado maldito,J.K. Rowling,$15.500,img/harry_potter_y_el_legado_maldito.png,Fantasía,Disponible
Cien años de soledad,Gabriel García Márquez,$16.500,img/cien_años_de_soledad.png,Fantasía,Disponible
El amor en los tiempos del cólera,Gabriel García Márquez,$12.000,img/el_amor_en_los_tiempos_del_cólera.png,Fantasía,Disponible
Crónica de una muerte anunciada,Gabriel García Márquez,$14.500,img/crónica_de_una_muerte_anunciada.png,Fantasía,Disponible
El coronel no tiene quien le escriba,Gabriel García Márquez,$13.500,img/el_coronel_no_tiene_quien_le_escriba.png,Desarrollo Personal,Disponible
La hojarasca,Gabriel García Márquez,$17.000,img/la_hojarasca.png,Desarrollo Personal,Disponible
El otoño del patriarca,Gabriel García Márquez,$14.000,img/el_otoño_del_patriarca.png,Desarrollo Personal,Disponible
Doce cuentos peregrinos,Gabriel García Márquez,$14.000,img/doce_cuentos_peregrinos.png,Desarrollo Personal,Disponible
Ojos de perro azul,Gabriel García Márquez,$15.000,img/ojos_de_perro_azul.png,Desarrollo Personal,Disponible
Del amor y otros demonios,Gabriel García Márquez,$11.500,img/del_amor_y_otros_demonios.png,Desarrollo Personal,Disponible
Memoria de mis putas tristes,Gabriel García Márquez,$10.500,img/memoria_de_mis_putas_tristes.png,Desarrollo Personal,Disponible
Vivir para contarla,Gabriel García Márquez,$13.000,img/vivir_para_contarla.png,Desarrollo Personal,Disponible
El general en su laberinto,Gabriel García Márquez,$13.500,img/el_general_en_su_laberinto.png,Desarrollo Personal,Disponible
Noticia de un secuestro,Gabriel García Márquez,$14.000,img/noticia_de_un_secuestro.png,Desarrollo Personal,Disponible
La mala hora,Gabriel García Márquez,$11.500,img/la_mala_hora.png,Desarrollo Personal,Disponible
Los funerales de la Mamá Grande,Gabriel García Márquez,$14.500,img/los_funerales_de_la_mamá_grande.png,Desarrollo Personal,Disponible
Relato de un náufrago,Gabriel García Márquez,$12.500,img/relato_de_un_náufrago.png,Desarrollo Personal,Disponible
La increíble y triste historia de la cándida Eréndira,Gabriel García Márquez,$16.500,img/la_increíble_y_triste_historia_de_la_cándida_eréndira.png,Desarrollo Personal,Disponible
